,Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
0,7,25,2020,4.2,1,2,289944,3,5,8501
1,3,20,2012,2.0,3,1,5356,2,3,12092
2,8,17,2020,4.2,1,1,231440,4,2,11171
3,1,23,2023,2.0,2,2,160971,2,1,11780
4,10,18,2003,2.6,3,3,286618,3,3,2867
5,9,8,2007,2.7,4,1,157889,4,4,7242
6,5,9,2010,3.4,2,1,139584,3,1,11208
7,7,27,2001,4.7,2,3,157495,2,2,7950
8,7,27,2014,2.6,3,2,98700,3,4,9926
9,9,24,2005,3.1,4,2,107724,2,5,6545
10,2,2,2013,1.3,3,1,296824,2,3,5863
11,10,18,2009,4.5,3,2,42795,4,3,11444
12,5,7,2007,4.8,3,1,132875,3,4,10842
13,6,12,2004,2.3,3,3,188996,2,1,4820
14,10,18,2003,2.4,4,1,145921,5,2,5981
15,10,18,2007,3.2,1,1,60103,2,1,9697
16,6,12,2017,2.9,2,1,38133,5,2,14837
17,10,28,2006,4.5,2,2,41161,2,2,11576
18,7,25,2000,3.4,1,3,257427,3,3,2351
19,8,17,2021,1.5,4,2,34640,2,1,11207
20,3,13,2018,1.8,3,1,21261,2,1,13374
21,9,24,2000,4.6,3,3,41814,2,2,8863
22,9,24,2003,2.0,2,2,136662,5,4,6266
23,4,14,2006,2.8,3,2,99921,4,2,7701
24,8,17,2016,3.9,4,3,19868,3,4,12402
25,7,27,2011,1.8,1,1,92188,2,4,8856
26,1,3,2022,3.3,2,2,79350,5,3,14413
27,2,1,2017,2.3,2,3,142701,5,3,10645
28,2,1,2020,4.7,2,3,210767,3,3,12584
29,3,13,2013,1.9,3,1,121816,4,4,9963
30,6,29,2007,3.9,2,1,213643,4,5,9327
31,10,22,2008,3.5,2,2,88381,3,1,10232
32,3,19,2017,2.3,4,1,183619,5,1,9327
33,8,17,2013,3.3,2,3,80184,3,5,11696
34,9,10,2010,3.2,1,1,132454,4,4,9150
